Source	Target	Type	Weight
1	0	Directed	1
2	0	Directed	1
4	3	Directed	1
5	3	Directed	1
8	7	Directed	1
9	7	Directed	1
11	10	Directed	1
12	10	Directed	1
8	13	Directed	1
14	13	Directed	1
16	15	Directed	1
17	15	Directed	1
19	18	Directed	1
20	18	Directed	1
22	21	Directed	1
23	21	Directed	1
25	24	Directed	1
26	24	Directed	1
27	24	Directed	1
19	28	Directed	1
29	28	Directed	1
31	30	Directed	1
32	30	Directed	1
34	33	Directed	1
35	33	Directed	1
8	36	Directed	1
37	36	Directed	1
39	38	Directed	1
40	38	Directed	1
2	41	Directed	1
42	41	Directed	1
8	44	Directed	1
45	44	Directed	1
47	46	Directed	1
48	46	Directed	1
8	49	Directed	1
50	49	Directed	1
8	51	Directed	1
52	51	Directed	1
2	54	Directed	1
55	54	Directed	1
8	56	Directed	1
57	56	Directed	1
59	58	Directed	1
60	58	Directed	1
34	61	Directed	1
62	61	Directed	1
64	63	Directed	1
65	63	Directed	1
8	66	Directed	1
67	66	Directed	1
8	68	Directed	1
69	68	Directed	1
71	70	Directed	1
72	70	Directed	1
2	73	Directed	1
74	73	Directed	1
8	75	Directed	1
76	75	Directed	1
19	77	Directed	1
78	77	Directed	1
19	79	Directed	1
80	79	Directed	1
8	81	Directed	1
82	81	Directed	1
84	83	Directed	1
85	83	Directed	1
86	83	Directed	1
31	87	Directed	1
88	87	Directed	1
90	89	Directed	1
91	89	Directed	1
93	92	Directed	1
94	92	Directed	1
97	96	Directed	1
98	96	Directed	1
2	99	Directed	1
100	99	Directed	1
31	101	Directed	1
102	101	Directed	1
8	103	Directed	1
104	103	Directed	1
8	105	Directed	1
106	105	Directed	1
47	107	Directed	1
108	107	Directed	1
110	109	Directed	1
111	109	Directed	1
19	112	Directed	1
113	112	Directed	1
71	114	Directed	1
115	114	Directed	1
8	116	Directed	1
117	116	Directed	1
120	119	Directed	1
121	119	Directed	1
123	122	Directed	1
124	122	Directed	1
126	125	Directed	1
127	125	Directed	1
129	128	Directed	1
130	128	Directed	1
8	131	Directed	1
132	131	Directed	1
134	133	Directed	1
135	133	Directed	1
137	136	Directed	1
138	136	Directed	1
47	139	Directed	1
140	139	Directed	1
8	141	Directed	1
142	141	Directed	1
144	143	Directed	1
145	143	Directed	1
147	146	Directed	1
148	146	Directed	1
31	149	Directed	1
150	149	Directed	1
47	151	Directed	1
152	151	Directed	1
154	153	Directed	1
155	153	Directed	1
34	156	Directed	1
157	156	Directed	1
159	158	Directed	1
160	158	Directed	1
163	162	Directed	1
164	162	Directed	1
144	165	Directed	1
166	165	Directed	1
137	167	Directed	1
168	167	Directed	1
71	169	Directed	1
170	169	Directed	1
172	171	Directed	1
173	171	Directed	1
174	171	Directed	1
71	175	Directed	1
176	175	Directed	1
8	177	Directed	1
178	177	Directed	1
180	179	Directed	1
181	179	Directed	1
183	182	Directed	1
184	182	Directed	1
185	182	Directed	1
187	186	Directed	1
188	186	Directed	1
8	189	Directed	1
190	189	Directed	1
192	191	Directed	1
193	191	Directed	1
86	194	Directed	1
60	194	Directed	1
134	195	Directed	1
196	195	Directed	1
198	197	Directed	1
199	197	Directed	1
2	200	Directed	1
201	200	Directed	1
47	202	Directed	1
203	202	Directed	1
19	204	Directed	1
205	204	Directed	1
134	206	Directed	1
207	206	Directed	1
8	208	Directed	1
209	208	Directed	1
39	210	Directed	1
211	210	Directed	1
134	212	Directed	1
213	212	Directed	1
2	214	Directed	1
215	214	Directed	1
19	216	Directed	1
217	216	Directed	1
134	218	Directed	1
219	218	Directed	1
221	220	Directed	1
222	220	Directed	1
115	220	Directed	1
8	223	Directed	1
224	223	Directed	1
34	225	Directed	1
226	225	Directed	1
19	227	Directed	1
228	227	Directed	1
230	229	Directed	1
231	229	Directed	1
134	232	Directed	1
233	232	Directed	1
71	234	Directed	1
235	234	Directed	1
237	236	Directed	1
238	236	Directed	1
240	239	Directed	1
241	239	Directed	1
71	242	Directed	1
94	242	Directed	1
8	243	Directed	1
244	243	Directed	1
246	245	Directed	1
247	245	Directed	1
249	248	Directed	1
250	248	Directed	1
252	251	Directed	1
253	251	Directed	1
254	251	Directed	1
71	255	Directed	1
256	255	Directed	1
258	257	Directed	1
259	257	Directed	1
238	260	Directed	1
261	260	Directed	1
39	262	Directed	1
263	262	Directed	1
265	264	Directed	1
215	264	Directed	1
267	266	Directed	1
268	266	Directed	1
270	269	Directed	1
271	269	Directed	1
273	272	Directed	1
274	272	Directed	1
276	275	Directed	1
277	275	Directed	1
279	278	Directed	1
280	278	Directed	1
144	281	Directed	1
280	281	Directed	1
283	282	Directed	1
284	282	Directed	1
120	285	Directed	1
286	285	Directed	1
31	287	Directed	1
288	287	Directed	1
290	289	Directed	1
291	289	Directed	1
22	292	Directed	1
293	292	Directed	1
295	294	Directed	1
296	294	Directed	1
34	297	Directed	1
298	297	Directed	1
19	299	Directed	1
300	299	Directed	1
302	301	Directed	1
303	301	Directed	1
221	304	Directed	1
305	304	Directed	1
8	306	Directed	1
307	306	Directed	1
309	308	Directed	1
310	308	Directed	1
22	311	Directed	1
256	311	Directed	1
82	312	Directed	1
313	312	Directed	1
315	314	Directed	1
316	314	Directed	1
34	317	Directed	1
318	317	Directed	1
22	319	Directed	1
320	319	Directed	1
82	321	Directed	1
322	321	Directed	1
34	323	Directed	1
324	323	Directed	1
273	325	Directed	1
326	325	Directed	1
22	327	Directed	1
94	327	Directed	1
329	328	Directed	1
330	328	Directed	1
137	331	Directed	1
332	331	Directed	1
34	333	Directed	1
334	333	Directed	1
22	335	Directed	1
235	335	Directed	1
8	336	Directed	1
337	336	Directed	1
19	338	Directed	1
339	338	Directed	1
341	340	Directed	1
222	340	Directed	1
22	342	Directed	1
343	342	Directed	1
8	345	Directed	1
346	345	Directed	1
348	347	Directed	1
349	347	Directed	1
351	350	Directed	1
155	350	Directed	1
137	352	Directed	1
353	352	Directed	1
355	354	Directed	1
356	354	Directed	1
358	357	Directed	1
359	357	Directed	1
360	357	Directed	1
19	361	Directed	1
362	361	Directed	1
364	363	Directed	1
34	365	Directed	1
366	365	Directed	1
368	367	Directed	1
155	367	Directed	1
370	369	Directed	1
371	369	Directed	1
373	372	Directed	1
374	372	Directed	1
19	375	Directed	1
115	375	Directed	1
377	376	Directed	1
378	376	Directed	1
380	379	Directed	1
381	379	Directed	1
34	382	Directed	1
383	382	Directed	1
8	384	Directed	1
385	384	Directed	1
19	386	Directed	1
277	386	Directed	1
19	387	Directed	1
388	387	Directed	1
390	389	Directed	1
391	389	Directed	1
8	392	Directed	1
393	392	Directed	1
198	395	Directed	1
396	395	Directed	1
34	397	Directed	1
398	397	Directed	1
8	399	Directed	1
400	399	Directed	1
8	401	Directed	1
402	401	Directed	1
19	403	Directed	1
404	403	Directed	1
8	405	Directed	1
406	405	Directed	1
408	407	Directed	1
409	407	Directed	1
8	410	Directed	1
411	410	Directed	1
413	412	Directed	1
414	412	Directed	1
8	415	Directed	1
416	415	Directed	1
418	417	Directed	1
419	417	Directed	1
19	420	Directed	1
176	420	Directed	1
8	421	Directed	1
422	421	Directed	1
47	424	Directed	1
425	424	Directed	1
427	426	Directed	1
