Id	Label
0	囷
1	囗
2	禾
3	辕
4	车
5	袁
6	䁅
7	目
8	孟
9	檋
10	木
11	輂
12	蓧
13	艹
14	條
15	訵
16	言
17	四
18	㖭
19	口
20	忝
21	糎
22	米
23	厘
24	筪
25	⺮
26	匣
27	搡
28	⺘
29	桑
30	殿
31	?
32	?
33	洓
34	⺡
35	朿
36	箋
37	戔
38	&CDP-8BBF;
39	酣
40	酉
41	甘
42	变
43	null
44	又
45	沫
46	末
47	緡
48	糹
49	昬
50	泍
51	本
52	鵇
53	年
54	鳥
55	搩
56	桀
57	沬
58	未
59	祊
60	⺭
61	方
62	䇚
63	仆
64	娛
65	女
66	吳
67	萞
68	&CDP-8CAE;
69	比
70	㽕
71	由
72	?
73	沐
74	鼮
75	鼠
76	廷
77	龁
78	齿
79	每
80	璀
81	⺩
82	崔
83	鸨
84	?
85	?
86	酺
87	甫
88	祈
89	斤
90	䅑
91	妥
92	?
93	䄨
94	于
95	蟴
96	斯
97	虫
98	䅉
99	亚
100	既
101	&CDP-8B7C;
102	旡
103	稏
104	亞
105	楎
106	軍
107	羦
108	&CDP-8970;
109	完
110	㷁
111	火
112	甬
113	涷
114	東
115	沎
116	化
117	碀
118	石
119	争
120	簰
121	牌
122	靋
123	⻗
124	瀝
125	鳱
126	干
127	賲
128	保
129	貝
130	㑲
131	亻
132	南
133	磃
134	虒
135	惭
136	⺖
137	涞
138	来
139	颈
140	?
141	䇝
142	戈
143	濂
144	廉
145	笺
146	束
147	㕞
148	?
149	辟
150	?
151	欻
152	炎
153	欠
154	揸
155	查
156	慄
157	栗
158	卵
159	?
160	?
161	null
162	null
163	八
164	筑
165	&C4-2263;
166	䄬
167	也
168	焏
169	null
170	灬
171	揉
172	柔
173	淹
174	奄
175	譺
176	疑
177	鴭
178	?
179	纫
180	纟
181	刃
182	讍
183	噩
184	覛
185	?
186	㫚
187	勿
188	曰
189	魺
190	魚
191	可
192	赚
193	贝
194	兼
195	鼾
196	鼻
197	揲
198	枼
199	㻆
200	王
201	null
202	垗
203	&GT-K00199;
204	兆
205	null
206	穴
207	㒸
208	䄦
209	了
210	&CDP-8BBC;
211	䂯
212	庄
213	弐
214	弍
215	一
216	鑔
217	金
218	察
219	㲷
220	气
221	單
222	租
223	且
224	鎳
225	臬
226	践
227	⻊
228	戋
229	窓
230	厶
231	心
232	㳉
233	月
234	蒈
235	皆
236	翔
237	羽
238	奁
239	大
240	区
241	搮
242	椟
243	卖
244	洩
245	曳
246	浭
247	更
248	㶅
249	學
250	&CDP-8BBD;
251	浀
252	曲
253	种
254	中
255	汩
256	秇
257	藍
258	卓
259	⺊
260	早
261	驮
262	马
263	妦
264	&C1-4464;
265	籜
266	擇
267	䄧
268	乃
269	犼
270	⺨
271	孔
272	&CDP-8BBE;
273	秨
274	乍
275	揀
276	柬
277	鈫
278	文
279	㬞
280	日
281	null
282	伇
283	⺅
284	殳
285	槌
286	追
287	㤌
288	忄
289	卧
290	臣
291	卜
292	刬
293	⺉
294	鈄
295	斗
296	溙
297	泰
298	㔨
299	勹
300	背
301	䂓
302	矢
303	見
304	㰺
305	叚
306	謵
307	習
308	樋
309	通
310	釿
311	汛
312	卂
313	熙
314	巸
315	槤
316	連
317	骦
318	霜
319	槰
320	逢
321	甀
322	垂
323	瓦
324	&CDP-8BC0;
325	儮
326	歷
327	駁
328	馬
329	爻
330	揦
331	剌
332	萤
333	冖
334	樅
335	從
336	䅳
337	芻
338	鈁
339	燢
340	&CDP-8B65;
341	䎻
342	耳
343	周
344	䎐
345	?
346	㮇
347	墙
348	啬
349	饔
350	雍
351	食
352	琌
353	岑
354	迊
355	辶
356	帀
357	跬
358	圭
359	&CDP-8BC2;
360	㔥
361	罷
362	力
363	䇣
364	禽
365	㪱
366	奂
367	猓
368	果
369	疎
370	毚
371	侮
372	每
373	㞤
374	山
375	㹆
376	牜
377	軍
378	null
379	结
380	吉
381	試
382	式
383	箥
384	波
385	仳
386	null
387	?
388	衊
389	血
390	蔑
391	梿
392	连
393	珳
394	&AJ1-17611;
395	筟
396	孚
397	岲
398	兄
399	&CDP-8BC3;
400	嵌
401	?
402	繊
403	烖
404	襯
405	衤
406	親
407	乱
408	舌
409	乚
410	敎
411	?
412	?
413	蟚
414	彭
415	枟
416	云
417	综
418	宗
419	擈
420	業
421	豞
422	豕
423	句
424	橏
425	善
426	㹭
427	㹴
428	㙌
429	土
430	肃
431	妐
432	公
433	鲙
434	鱼
435	㵩
436	葉
437	炏
438	俽
439	欣
440	佽
441	次
442	曶
443	㲩
444	毛
445	?
446	梓
447	辛
448	橭
449	辜
450	檘
451	辟
452	稐
453	侖
454	㐹
455	划
456	淉
457	㚶
458	㠯
459	鈙
460	攴
461	諈
462	槈
463	辱
464	桭
465	辰
466	檂
467	農
468	䅘
469	來
470	钩
471	钅
472	勾
473	岛
474	&CDP-8964;
475	郷
476	乡
477	⻏
478	耾
479	灰
480	狇
481	㨲
482	null
483	倵
484	武
485	秸
486	憷
487	楚
488	蠌
489	睪
490	&C5-537C;
491	惇
492	享
493	佂
494	正
495	null
496	叉
497	玥
498	此
499	構
500	冓
501	碲
502	帝
503	湅
504	碄
505	林
506	焷
507	卑
508	镝
509	啇
510	觾
511	角
512	燕
513	磒
514	員
515	鳂
516	畏
517	糭
518	null
519	僛
520	欺
521	橀
522	null
523	羪
524	良
525	爎
526	寮
527	&CDP-8BC8;
528	磙
529	衮
530	䄹
531	㜒
532	舁
533	耫
534	耒
535	責
536	渴
537	曷
538	点
539	占
540	疸
541	疒
542	旦
543	礢
544	&GT-59327;
545	芺
546	夭
547	㕁
548	?
549	凨
550	⺇
551	鵼
552	空
553	庠
554	广
555	羊
556	琭
557	录
558	剗
559	戔
560	於
561	䊚
562	追
563	庶
564	&CDP-8D67;
565	莚
566	延
567	退
568	艮
569	䁥
570	匿
571	襜
572	詹
573	傣
574	泰
575	萮
576	俞
577	㿺
578	暴
579	皮
580	馧
581	香
582	昷
583	黴
584	彳
585	null
586	攵
587	适
588	榔
589	郎
590	銰
591	艾
592	㡣
593	&CDP-89B0;
594	泦
595	尻
596	趻
597	今
598	醉
599	卒
600	㬧
601	?
602	?
603	碜
604	参
605	毾
606	?
607	槨
608	郭
609	乸
610	母
611	䅻
612	离
613	㶄
614	閻
615	逫
616	叕
617	䀕
618	引
619	尜
620	尖
621	小
622	&CDP-8BC4;
623	㚾
624	刪
625	冊
626	䎥
627	谷
628	㱢
629	歹
630	良
631	悎
632	告
633	蹲
634	尊
635	㰹
636	咸
637	纷
638	分
639	鷟
640	旟
641	柗
642	&CDP-8BFD;
643	低
644	氐
645	桏
646	邛
647	桞
648	邜
649	徉
650	碿
651	屑
652	䇗
653	梛
654	那
655	淢
656	或
657	&CDP-8BC5;
658	梆
659	邦
660	貌
661	豸
662	&CDP-8DA3;
663	燻
664	熏
665	祙
666	觌
667	见
668	轓
669	車
670	番
671	棇
672	忩
673	咳
674	亥
675	哿
676	加
677	祼
678	騻
679	爽
680	&CDP-8BC6;
681	檖
682	遂
683	氹
684	乙
685	水
686	衚
687	行
688	胡
689	鱔
690	删
691	册
692	綟
693	戾
694	null
695	檛
696	過
697	肪
698	⺼
699	醩
700	曹
701	檤
702	道
703	䇿
704	橽
705	達
706	䌚
707	粟
708	軵
