Source	Target	Type	Weight
3	2	Directed	1
4	2	Directed	1
7	6	Directed	1
8	6	Directed	1
8	6	Directed	1
11	10	Directed	1
12	10	Directed	1
14	13	Directed	1
15	13	Directed	1
18	17	Directed	1
19	17	Directed	1
23	22	Directed	1
24	22	Directed	1
25	22	Directed	1
28	27	Directed	1
29	27	Directed	1
31	30	Directed	1
32	30	Directed	1
35	34	Directed	1
36	34	Directed	1
38	37	Directed	1
39	37	Directed	1
40	37	Directed	1
42	41	Directed	1
43	41	Directed	1
46	45	Directed	1
47	45	Directed	1
49	48	Directed	1
47	48	Directed	1
8	50	Directed	1
51	50	Directed	1
14	53	Directed	1
54	53	Directed	1
58	57	Directed	1
59	57	Directed	1
61	60	Directed	1
62	60	Directed	1
64	63	Directed	1
43	63	Directed	1
8	65	Directed	1
8	65	Directed	1
66	65	Directed	1
43	68	Directed	1
69	68	Directed	1
70	68	Directed	1
31	72	Directed	1
73	72	Directed	1
29	72	Directed	1
75	74	Directed	1
12	74	Directed	1
77	76	Directed	1
78	76	Directed	1
8	76	Directed	1
79	76	Directed	1
81	80	Directed	1
82	80	Directed	1
84	83	Directed	1
47	83	Directed	1
8	85	Directed	1
86	85	Directed	1
91	90	Directed	1
92	90	Directed	1
94	93	Directed	1
95	93	Directed	1
8	96	Directed	1
97	96	Directed	1
100	99	Directed	1
101	99	Directed	1
104	103	Directed	1
105	103	Directed	1
8	107	Directed	1
108	107	Directed	1
112	111	Directed	1
113	111	Directed	1
14	114	Directed	1
115	114	Directed	1
116	114	Directed	1
118	117	Directed	1
119	117	Directed	1
121	120	Directed	1
43	120	Directed	1
8	122	Directed	1
123	122	Directed	1
124	122	Directed	1
12	125	Directed	1
12	125	Directed	1
12	125	Directed	1
14	127	Directed	1
128	127	Directed	1
3	130	Directed	1
31	130	Directed	1
132	131	Directed	1
133	131	Directed	1
134	131	Directed	1
61	135	Directed	1
136	135	Directed	1
70	138	Directed	1
139	138	Directed	1
38	141	Directed	1
142	141	Directed	1
12	141	Directed	1
8	143	Directed	1
64	143	Directed	1
145	144	Directed	1
146	144	Directed	1
12	144	Directed	1
61	148	Directed	1
149	148	Directed	1
14	152	Directed	1
153	152	Directed	1
4	154	Directed	1
47	154	Directed	1
61	155	Directed	1
156	155	Directed	1
70	157	Directed	1
158	157	Directed	1
8	159	Directed	1
160	159	Directed	1
78	159	Directed	1
163	162	Directed	1
164	162	Directed	1
14	165	Directed	1
166	165	Directed	1
14	167	Directed	1
168	167	Directed	1
171	170	Directed	1
172	170	Directed	1
132	173	Directed	1
8	173	Directed	1
175	174	Directed	1
12	174	Directed	1
3	176	Directed	1
91	176	Directed	1
178	177	Directed	1
179	177	Directed	1
14	180	Directed	1
118	180	Directed	1
181	180	Directed	1
31	182	Directed	1
35	182	Directed	1
183	182	Directed	1
35	184	Directed	1
185	184	Directed	1
187	186	Directed	1
40	186	Directed	1
8	188	Directed	1
55	188	Directed	1
8	191	Directed	1
192	191	Directed	1
194	193	Directed	1
32	193	Directed	1
197	196	Directed	1
198	196	Directed	1
14	199	Directed	1
200	199	Directed	1
115	201	Directed	1
202	201	Directed	1
14	203	Directed	1
204	203	Directed	1
91	206	Directed	1
207	206	Directed	1
209	208	Directed	1
78	208	Directed	1
61	211	Directed	1
212	211	Directed	1
8	214	Directed	1
215	214	Directed	1
216	214	Directed	1
91	218	Directed	1
219	218	Directed	1
